num_parcels,algorithm,TR_reported,accepted_assignments,delivered_parcels,delivered_over_accepted,approx_delivered_only_TR
5000,capa,34907.418153671635,4991,4991,1.0,34907.418153671635
5000,greedy,34773.39200000162,4943,4889,0.9890754602468137,34393.50869674447
5000,basegta,35048.86304000165,4997,4943,0.9891935161096658,34670.10806618534
5000,impgta,27393.210760000016,4994,4940,0.9891870244293152,27097.008641249515
5000,mra,34896.17600000157,4955,4907,0.9903128153380424,34558.130299093384
5000,ramcom,35157.980220001635,4991,4937,0.9891805249449008,34777.58933002366
20000,capa,139667.05358843112,19930,19930,1.0,139667.05358843112
20000,greedy,139726.7359999756,19814,19083,0.9631068941152721,134571.78273380105
20000,basegta,140249.63565997515,19949,19206,0.9627550253145521,135026.0415301761
20000,impgta,109466.8449199989,19946,19203,0.962749423443297,105389.14183288574
20000,mra,140576.1279999751,19916,19192,0.9636473187387026,135465.80882584467
20000,ramcom,140712.33548997517,19939,19197,0.9627864988214053,135475.93682737616
50000,capa,345413.16205731255,49180,49180,1.0,345413.16205731255
50000,greedy,345471.6640000558,49001,44333,0.9047366380277954,312560.87182127865
50000,basegta,347020.9038800573,49284,44558,0.9041068095122149,313743.96224104357
50000,impgta,310772.184500023,49283,44559,0.904145445691212,280983.2552632049
50000,mra,346611.4400000568,49145,44484,0.9051582053108149,313738.1889706486
50000,ramcom,347012.392700057,49203,44491,0.9042334816982704,313780.22404362005
100000,capa,682923.8561730374,97401,97401,1.0,682923.8561730374
100000,greedy,669646.3680005742,95008,77929,0.8202361906365779,549268.185962411
100000,basegta,678155.984800586,97775,79725,0.815392482740987,552963.2921322088
100000,impgta,636126.6108804914,97760,79716,0.8154255319148936,518713.8800424433
100000,mra,668163.7600005829,94888,77917,0.8211470365061968,548660.6914253164
100000,ramcom,688698.9192005934,97607,79611,0.8156279775016136,561722.1065751272
200000,capa,1342611.3929233693,195251,195251,1.0,1342611.3929233693
200000,greedy,958512.4480013287,138354,103708,0.7495843994391199,718485.9776899967
200000,basegta,1258516.1989998226,196464,131345,0.6685448733610229,841374.5528831322
200000,impgta,1191689.2324197271,196407,131319,0.6686065160610365,796771.1859156046
